	Id	ParentId	Level	DepthInKind	BlockCode
0	1435254666	1435254666	0	1	
1	588616678	1435254666	1	1	BlockL1-1A0
2	135352227	588616678	2	2	BlockL2-1A0
3	257068234	135352227	3	1	1A00
4	416025325	135352227	3	1	1A01
5	2080365623	135352227	3	1	1A02
6	344162786	135352227	3	1	1A03
7	2099226249	344162786	4	2	1A03.0
8	408185629	344162786	4	2	1A03.1
9	1828273122	344162786	4	2	1A03.2
10	162723448	344162786	4	2	1A03.3
11	344162786	344162786	4	2	1A03.Y
12	344162786	344162786	4	2	1A03.Z
13	250688797	135352227	3	1	1A04
14	1000894786	135352227	3	1	1A05
15	794462570	135352227	3	1	1A06
16	1528414070	135352227	3	1	1A07
17	364534567	1528414070	4	2	1A07.0
18	1528414070	1528414070	4	2	1A07.Y
19	1528414070	1528414070	4	2	1A07.Z
20	1780040028	135352227	3	1	1A08
21	515117475	135352227	3	1	1A09
22	135352227	135352227	3	1	1A0Y
23	135352227	135352227	3	1	1A0Z
24	1834648119	588616678	2	2	BlockL2-1A1
25	1642556936	1834648119	3	1	1A10
26	78422942	1834648119	3	1	1A11
27	2033726602	78422942	4	2	1A11.0
28	1393712712	78422942	4	2	1A11.1
29	78422942	78422942	4	2	1A11.Z
30	1879176035	1834648119	3	1	1A12
31	1722068323	1834648119	3	1	1A13
32	1834648119	1834648119	3	1	1A1Y
33	1834648119	1834648119	3	1	1A1Z
34	30738976	588616678	2	2	BlockL2-1A2
35	749414717	30738976	3	1	1A20
36	1185210745	30738976	3	1	1A21
37	840750347	30738976	3	1	1A22
38	1465325727	30738976	3	1	1A23
39	1519125035	30738976	3	1	1A24
40	30738976	30738976	3	1	1A2Y
41	30738976	30738976	3	1	1A2Z
42	2092703582	588616678	2	2	BlockL2-1A3
43	2090337975	2092703582	3	1	1A30
44	433310499	2092703582	3	1	1A31
45	1837013982	2092703582	3	1	1A32
46	137713224	2092703582	3	1	1A33
47	1058992628	137713224	4	2	1A33.0
48	883510242	137713224	4	2	1A33.1
49	137713224	137713224	4	2	1A33.Y
50	137713224	137713224	4	2	1A33.Z
51	261748740	2092703582	3	1	1A34
52	1184241320	2092703582	3	1	1A35
53	435671752	2092703582	3	1	1A36
54	1727029934	435671752	4	2	1A36.0
55	1616956984	1727029934	5	3	1A36.00
56	349019849	1727029934	5	3	1A36.01
57	1727029934	1727029934	5	3	1A36.0Z
58	1777228366	435671752	4	2	1A36.1
59	1730350429	1777228366	5	3	1A36.10
60	40419529	1777228366	5	3	1A36.11
61	328097188	1777228366	5	3	1A36.12
62	1777228366	1777228366	5	3	1A36.1Y
63	435671752	435671752	4	2	1A36.Z
64	2092703582	2092703582	3	1	1A3Y
65	2092703582	2092703582	3	1	1A3Z
66	1688127370	588616678	2	1	1A40
67	1160271562	1688127370	3	2	1A40.0
